history_date,security_band,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted
2024-12-10,Null Sec,881839287.55,4558370.0,516766000.0,685315290.0,97142002.6,549640.0,91727000.0,19259730.0
2024-12-10,Pochven,8643800.0,0.0,0.0,0.0,2295120.0,0.0,0.0,0.0
2024-12-10,Wormhole,119479798.4,23732594.0,612000.0,5347560.0,42410046.6,3987609.0,147000.0,1928090.0
2024-12-11,High Sec,883175909.75,1519350.0,1122567000.0,648813630.0,215423605.8,79260.0,116208000.0,109805850.0
2024-12-11,Low Sec,114885635.2,3553280.0,132052000.0,26061400.0,26742605.1,439220.0,1741000.0,2229750.0
2024-12-11,Null Sec,959856075.95,3458290.0,474056000.0,694178560.0,103979306.45,453200.0,76519000.0,34726990.0
2024-12-11,Pochven,11693568.0,0.0,0.0,0.0,5224288.0,0.0,0.0,0.0
2024-12-11,Wormhole,103274831.7,24589161.0,5310000.0,3081520.0,31222218.2,4273412.0,1426000.0,784770.0
2024-12-12,High Sec,936144397.55,1621560.0,1102993000.0,683783790.0,226375596.0,106660.0,121000000.0,116302270.0
2024-12-12,Low Sec,145891422.0,3731540.0,124578000.0,9041590.0,25679590.15,413080.0,1092000.0,775340.0
2024-12-12,Null Sec,958753204.55,3545380.0,500728000.0,480877630.0,96731849.25,432450.0,84964000.0,19557480.0
2024-12-12,Pochven,13945560.0,0.0,0.0,0.0,6531672.0,0.0,0.0,0.0
2024-12-12,Wormhole,144481826.7,23156976.0,900000.0,1289050.0,47056393.1,4372876.0,287000.0,285660.0
2024-12-13,High Sec,952505636.2,1567020.0,1129938000.0,788911940.0,228329306.85,104830.0,128630000.0,124751380.0
2024-12-13,Low Sec,143261839.5,3375210.0,126560000.0,27629290.0,32737239.0,482830.0,1177000.0,1799440.0
2024-12-13,Null Sec,1096449170.6,4456610.0,441317000.0,769484380.0,121186916.35,375200.0,79527000.0,38885260.0
2024-12-13,Pochven,3700272.0,0.0,0.0,0.0,1343168.0,0.0,0.0,0.0
2024-12-13,Wormhole,119323309.0,24839866.0,1030000.0,6644090.0,32522742.3,4092175.0,290000.0,1412430.0
2024-12-14,High Sec,1047868187.95,1286590.0,1150690000.0,1018573980.0,254984683.75,123870.0,130914000.0,158223830.0
2024-12-14,Low Sec,53600386.55,3931010.0,135918000.0,12557780.0,11182916.0,359190.0,243000.0,616570.0
2024-12-14,Null Sec,1049093133.1,2946450.0,425693000.0,1162826530.0,110323231.55,344080.0,75948000.0,42802470.0
2024-12-14,Pochven,27003624.0,0.0,0.0,0.0,12496664.0,0.0,0.0,0.0
2024-12-14,Wormhole,119811200.2,26627748.0,2996000.0,7129540.0,40472956.7,4221007.0,962000.0,1531020.0
2024-12-15,High Sec,1033655803.9,1391960.0,1148864000.0,821228590.0,245621345.35,88460.0,130767000.0,128712190.0
2024-12-15,Low Sec,72429298.3,3834090.0,127985000.0,32156510.0,17978780.5,453240.0,621000.0,359160.0
2024-12-15,Null Sec,1076407978.8,3999470.0,467586000.0,865686540.0,107500979.4,491130.0,68549000.0,31593180.0
2024-12-15,Pochven,17420784.0,0.0,0.0,0.0,9487512.0,0.0,0.0,0.0
2024-12-15,Wormhole,114003242.0,29463864.0,372000.0,1672940.0,33050381.4,5037509.0,119000.0,105820.0
2024-12-16,High Sec,982467867.75,1387260.0,1058910000.0,754412460.0,231824250.8,83720.0,122769000.0,121125820.0
2024-12-16,Low Sec,144710682.1,3311020.0,122240000.0,10494110.0,32458629.55,408480.0,676000.0,563070.0
2024-12-16,Null Sec,1103179774.15,3640850.0,397922000.0,647570750.0,135487049.95,232570.0,67236000.0,17259930.0
2024-12-16,Pochven,17731728.0,0.0,0.0,0.0,8127208.0,0.0,0.0,0.0
2024-12-16,Wormhole,114646716.0,24190504.0,891000.0,6021770.0,39530999.1,3951957.0,29000.0,1730100.0
2024-12-17,High Sec,910874112.25,1473400.0,1085462000.0,683959980.0,212094764.4,99540.0,127783000.0,104746470.0
2024-12-17,Low Sec,112585698.2,3835880.0,120110000.0,29982620.0,20868256.4,521010.0,622000.0,704480.0
2024-12-17,Null Sec,1118183576.05,3755310.0,458937000.0,780359390.0,103933117.7,374300.0,74972000.0,46964620.0
2024-12-17,Pochven,24812768.0,0.0,0.0,0.0,11890432.0,0.0,0.0,0.0
2024-12-17,Wormhole,127848426.6,24460181.0,476000.0,4194860.0,41216873.9,4401201.0,118000.0,2253110.0
2024-12-18,High Sec,946108290.95,1191150.0,1119712000.0,653702590.0,233942074.9,67520.0,132090000.0,110347670.0
2024-12-18,Low Sec,96528650.8,3867730.0,107465000.0,25982900.0,21531135.8,450410.0,1014000.0,2005430.0
2024-12-18,Null Sec,1066477635.05,4142960.0,450228000.0,771472820.0,95433575.4,467520.0,74077000.0,29141170.0
2024-12-18,Pochven,14111416.0,0.0,0.0,0.0,5554120.0,0.0,0.0,0.0
